epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.762,1.45161,7.98152,0.00369,0.72513,0.35876,0.22994,0.14042,0.99319,3.00978,0.00395,0.000554778,0.000554778,0.000554778
2,383.978,1.4799,2.21884,0.00393,0.73818,0.35066,0.24842,0.15237,1.03842,2.41838,0.00422,0.00108846,0.00108846,0.00108846
3,558.513,1.51114,1.57824,0.00404,0.75153,0.37775,0.26859,0.16682,1.07217,2.64203,0.00433,0.00160013,0.00160013,0.00160013
4,730.132,1.52771,1.45367,0.00411,0.7548,0.37858,0.31907,0.19973,1.02895,2.45752,0.00419,0.00156798,0.00156798,0.00156798
5,902.12,1.48349,1.36973,0.00392,0.31968,0.56219,0.37063,0.22151,1.04246,3.38191,0.00431,0.00153497,0.00153497,0.00153497
6,1079.69,1.4683,1.32565,0.00389,0.36654,0.58637,0.36007,0.22621,0.99175,2.37577,0.00404,0.00150197,0.00150197,0.00150197
7,1257.36,1.44702,1.27236,0.00388,0.38886,0.61266,0.3821,0.2409,0.98672,2.65979,0.00396,0.00146896,0.00146896,0.00146896
8,1428.82,1.43493,1.25151,0.0037,0.37735,0.59915,0.37007,0.23082,1.00248,2.50278,0.00405,0.00143595,0.00143595,0.00143595
9,1600.54,1.40866,1.20538,0.0037,0.38397,0.58913,0.38395,0.24327,0.98457,2.38549,0.00396,0.00140295,0.00140295,0.00140295
10,1791.86,1.41192,1.21748,0.00364,0.42453,0.61909,0.39606,0.2607,0.98901,2.62193,0.00394,0.00136994,0.00136994,0.00136994
11,1962.05,1.39482,1.18498,0.00359,0.3946,0.66238,0.39473,0.25661,0.96852,2.30999,0.00381,0.00133693,0.00133693,0.00133693
12,2133.57,1.38444,1.16091,0.00353,0.47639,0.58208,0.4088,0.25882,0.95856,2.10575,0.0038,0.00130393,0.00130393,0.00130393
13,2305.31,1.35724,1.15757,0.00349,0.42072,0.61287,0.38523,0.24847,0.97029,2.75169,0.0038,0.00127092,0.00127092,0.00127092
14,2474.7,1.37337,1.14143,0.00354,0.42761,0.65538,0.38636,0.25251,0.92581,2.33606,0.00364,0.00123791,0.00123791,0.00123791
15,2645.4,1.35109,1.12003,0.00351,0.43535,0.61959,0.38541,0.25075,0.95032,1.9343,0.00374,0.00120491,0.00120491,0.00120491
16,2816.33,1.33942,1.10965,0.00349,0.44555,0.59745,0.39475,0.25294,0.94923,2.42986,0.00375,0.0011719,0.0011719,0.0011719
17,2988.33,1.33394,1.12422,0.00344,0.42142,0.68672,0.40251,0.26032,0.939,2.41038,0.0037,0.00113889,0.00113889,0.00113889
18,3156.38,1.32221,1.10489,0.00344,0.44561,0.69163,0.41743,0.26022,0.9343,2.42546,0.00364,0.00110589,0.00110589,0.00110589
19,3323,1.32944,1.08206,0.0034,0.44462,0.64557,0.4462,0.27816,0.91829,2.66402,0.00354,0.00107288,0.00107288,0.00107288
20,3490.5,1.3127,1.08161,0.00332,0.44355,0.68204,0.44578,0.28481,0.90246,2.26165,0.00348,0.00103987,0.00103987,0.00103987
21,3658.52,1.32404,1.08321,0.00331,0.39531,0.6644,0.45278,0.29399,0.90633,2.45241,0.00351,0.00100687,0.00100687,0.00100687
22,3825.45,1.28011,1.03899,0.00324,0.45998,0.624,0.46059,0.29726,0.91145,2.21809,0.00354,0.000973861,0.000973861,0.000973861
23,3993.04,1.27348,1.03885,0.00325,0.44146,0.70953,0.45164,0.29801,0.91217,2.70794,0.00353,0.000940855,0.000940855,0.000940855
